H,model,split,MAE,RMSE,MAPE,SMAPE,DirAcc
1,Naive,val,0.008264615384615396,0.010572686144386027,0.0019244197022382618,0.0019241786463366315,0.0
1,Naive,test,0.0075061538461538325,0.010920781178032168,0.0017709156403855411,0.001771665364234509,0.011538461538461539
1,SMA(K=5),val,0.01198061538461535,0.014694897492248497,0.0027922517029760454,0.002790760656505321,0.5076923076923077
1,SMA(K=5),test,0.010049923076923043,0.014853430942689014,0.0023723659464175207,0.0023743308179596107,0.5307692307692308
1,EMA(K=5),val,0.010867958214624848,0.01329852614138917,0.0025325635930802852,0.002531420572583376,0.49230769230769234
1,EMA(K=5),test,0.00907294396961067,0.013423858908026446,0.0021416601258180614,0.0021432785135311857,0.5346153846153846
1,Ridge,val,0.008330526654446764,0.01060601776361893,0.0019399468888196612,0.0019393881373343316,0.5538461538461539
1,Ridge,test,0.007645777993272278,0.01108510893680474,0.0018044523893780133,0.0018047844792195662,0.46923076923076923
1,ElasticNet,val,0.008285713226002394,0.010573316495058807,0.001929640684889493,0.001929160508942365,0.5076923076923077
1,ElasticNet,test,0.007570462868075702,0.010905986285035297,0.0017865269660259653,0.001786943457716864,0.5230769230769231
1,RandomForest,val,0.008689522132860648,0.011069213130620764,0.00202323993264308,0.0020228535887829367,0.46923076923076923
1,RandomForest,test,0.007479119917301846,0.010716005310060495,0.0017650854414219233,0.0017658130007629919,0.5192307692307693
1,ExtraTrees,val,0.008908066224722141,0.011078460276909192,0.002074935794437499,0.0020743285966414865,0.49230769230769234
1,ExtraTrees,test,0.007887827102373225,0.011418840709843224,0.0018617413667023825,0.001862470752580464,0.5423076923076923
1,HistGB,val,0.008723339634367985,0.0110355217458655,0.002031560163347536,0.0020310937309550624,0.4461538461538462
1,HistGB,test,0.007741127664126127,0.011031792434544082,0.0018265214136886357,0.001827039553078093,0.5
1,"SARIMAX(1, 1, 1)",val,4.091854148503613,4.1894707811847685,0.9538824483748025,1.9070520415647714,0.5
1,"SARIMAX(1, 1, 1)",test,3.9925155512449972,4.112710714226316,0.9423476259569575,1.8838150715953825,0.49615384615384617
7,Naive,val,0.020583846153846123,0.026163552158268957,0.004800682582629009,0.004795929464764939,
7,Naive,test,0.015708076923076894,0.023844895438259676,0.0037066024200649674,0.0037118383394363474,
7,SMA(K=5),val,0.020967384615384624,0.02753129430582306,0.004890304914675867,0.0048848664691975635,
7,SMA(K=5),test,0.016283307692307663,0.025103895162059863,0.0038424407421624603,0.0038489988905461986,
7,EMA(K=5),val,0.020523029439696156,0.02692891288530931,0.004786722207675758,0.004781501521624507,
7,EMA(K=5),test,0.015857991452991518,0.024418259291228907,0.00374226600182766,0.0037483727764197694,
7,Ridge,val,0.02033536425463433,0.025678454201248542,0.004746384914752081,0.004736744620936435,
7,Ridge,test,0.01779270206469605,0.024811096549127533,0.004203163226537334,0.00420254486598254,
7,ElasticNet,val,0.020739780229099235,0.026321559707082165,0.004841529994329935,0.004832007090033398,
7,ElasticNet,test,0.01735189736430994,0.02438765125623175,0.0040997057298835324,0.004098889653306684,
7,RandomForest,val,0.020407648609534035,0.026131409669344005,0.004765561808906608,0.004757674222891126,
7,RandomForest,test,0.017020688841028597,0.024707317083432684,0.0040160445469678285,0.004018011483463599,
7,ExtraTrees,val,0.023306228510886033,0.029210274819869535,0.0054427090037597915,0.005433174510738158,
7,ExtraTrees,test,0.020814031358147935,0.028797128756743607,0.004917031571651525,0.004913162479199731,
7,HistGB,val,0.021251230462581986,0.026407770636285882,0.004962044099114542,0.004953045732822914,
7,HistGB,test,0.017337987689619347,0.02531195893474697,0.004089486159732701,0.0040921218012948644,
7,"SARIMAX(1, 1, 1)",val,4.093110660255917,4.189673083036556,0.9541784716961383,1.9078716605962462,
7,"SARIMAX(1, 1, 1)",test,4.009401319609839,4.121374802812156,0.9463107605036494,1.8924384874427207,
30,Naive,val,0.04041307692307689,0.04837790261615788,0.009425106040804128,0.009402280016513578,
30,Naive,test,0.03175615384615386,0.0480191652444025,0.00750795754313665,0.007510084606188914,
30,SMA(K=60),val,0.031613615384615636,0.03991077132955057,0.007376748083638391,0.00736631492601521,
30,SMA(K=60),test,0.042323551282050925,0.057393200785175645,0.010037997867473692,0.009988082220955584,
30,EMA(K=60),val,0.0330831939163095,0.04107442081472322,0.007720537740944575,0.007707668983520282,
30,EMA(K=60),test,0.039475951410387664,0.053383191594060006,0.009359164594814893,0.00931987933389198,
30,Ridge,val,0.03766014150669506,0.046165812240571584,0.008799725541321626,0.008758033376813844,
30,Ridge,test,0.04113711722278453,0.05256560191534318,0.009747716604254098,0.009699687842964343,
30,ElasticNet,val,0.03754106019123271,0.04574571871609043,0.008772427252704926,0.008732166507238705,
30,ElasticNet,test,0.04053354297734201,0.05180257637496197,0.009604651713661927,0.009558798635039669,
30,RandomForest,val,0.03342318468586212,0.03977988026919133,0.007817133050449867,0.007785070506582191,
30,RandomForest,test,0.047406012832882406,0.06029107110130553,0.011211812220361266,0.011152051305363384,
30,ExtraTrees,val,0.032665348991424134,0.03921301721112921,0.0076307425939733785,0.007608861543034808,
30,ExtraTrees,test,0.04565586162451785,0.056724058077446377,0.01081034594525561,0.010764185511788248,
30,HistGB,val,0.03534502763053675,0.04183893051170332,0.008265801715681408,0.008229894170366625,
30,HistGB,test,0.04902776058231954,0.059323223582956504,0.011601850266129388,0.011531173903383806,
30,"SARIMAX(1, 1, 1)",val,4.125165413899364,4.205442432140459,0.9618870871607977,1.9234045207888089,
30,"SARIMAX(1, 1, 1)",test,4.059316109909381,4.1469474894817235,0.957973493326647,1.915662667348318,
60,Naive,val,0.038790769230769184,0.049366777991183136,0.009056480812457393,0.009031822054560356,
60,Naive,test,0.05087153846153847,0.06680661989307993,0.01205510872933084,0.012005191412857273,
60,SMA(K=60),val,0.026154410256410045,0.03296588466898071,0.006101409960127402,0.006094988325127455,
60,SMA(K=60),test,0.046100775641025174,0.062594561174107,0.010946377967167437,0.010871237444194016,
60,EMA(K=60),val,0.02718885500762412,0.03500841617740169,0.006342696622324352,0.006335545733124298,
60,EMA(K=60),test,0.04495650436291959,0.061923434045817745,0.01067710695741354,0.010600828101373319,
60,Ridge,val,0.0361016078388054,0.0450535197220864,0.008443896832891906,0.008403285282737089,
60,Ridge,test,0.04854421662608791,0.06558649952437595,0.011535089660676234,0.01142228619446811,
60,ElasticNet,val,0.036741970528478295,0.04543934655301397,0.008593728124757975,0.008552067168749062,
60,ElasticNet,test,0.04856606292480633,0.06571098540459917,0.011540652946912549,0.011427383149233115,
60,RandomForest,val,0.0342099441677019,0.0406938443922435,0.00800270137261434,0.007967574049854648,
60,RandomForest,test,0.0555642655047022,0.0690524698671003,0.013185537288277685,0.013073899767169727,
60,ExtraTrees,val,0.029821224245734558,0.03636198606510563,0.00696556670576537,0.00694896916958561,
60,ExtraTrees,test,0.05157554252175305,0.0640867713031249,0.012240180036076277,0.012144829093263617,
60,HistGB,val,0.03282442490891119,0.03928141114825683,0.007676703301936668,0.0076461297624319064,
60,HistGB,test,0.044892907401280144,0.06196681447520327,0.010670532481377408,0.010572214203010008,
60,"SARIMAX(1, 1, 1)",val,4.126669114482516,4.207166249479972,0.9618525827614607,1.923389031958085,
60,"SARIMAX(1, 1, 1)",test,4.12358804807625,4.179493374403097,0.9732844686041782,1.9463580378655974,
